id,sloka,translation,
457,prasthau durālabhāyā dvau pasthamāmalakasya ca|  dantīcitrakamuṣṭī [35] dve pratyagraṃ cābhayāśatam||152||  caturdroṇe'mbhasaḥ paktvā śītaṃ droṇāvaśeṣitam|  saguḍadviśataṃ pūtaṃ madhunaḥ kuḍavāyutam||153||  tadvat priyaṅgoḥ pippalyā viḍaṅgānāṃ ca cūrṇitaiḥ|  kuḍavairghṛtakumbhasthaṃ pakṣājjātaṃ tataḥ pibet||154||  grahaṇīpāṇḍurogārśaḥkuṣṭhavīsarpamehanut|  svaravarṇakaraścaiṣa raktapittakaphāpahaḥ||155||  iti durālabhāsavaḥ,"Having cooked four handfuls of rice in a pot with water and strained off the excess, mixed with one hundred and twenty grains of sugar and ghee from a pot, this drink is to be consumed. It is made of pippali and dried ginger processed together, alleviates disorders such as grahaṇī, pāṇḍu, roga, arśa, kuṣṭha, vīsarpa, meha, and eliminates rakta, pitta, and kapha doshas. This is the hard-to-find elixir.",
458,haridrā pañcamūle dve vīrarṣabhakajīvakam|  eṣāṃ [36] pañcapalān bhāgāṃścaturdroṇe'mbhasaḥ pacet||156||  droṇaśeṣe rase pūte guḍasya dviśataṃ bhiṣak|  cūrṇitān kuḍavārdhāṃśān prakṣipecca samākṣikān||157||  priyaṅgumustamañjiṣṭhāviḍaṅgamadhukaplavān|  lodhraṃ śābarakaṃ caiva māsārdhasthaṃ pibettu tam||158||  eṣa mūlāsavaḥ siddho dīpano raktapittajit|  ānāhakaphahṛdrogapāṇḍurogāṅgasādanut||159||  iti mūlāsavaḥ,"With the remainder of the dough ball, the physician should cook the portions of five ingredients in four droṇas of clarified butter. Once the mixture is pure and strained, he should add a mixture of priyangu, musta, mañjiṣṭha, viḍaṅga, madhuka, lodhram, and śābala. This mūlāsava, powerful and radiant, eliminates impurities related to blood, phlegm, bile, heart, and skin diseases. Thus is the preparation of mūlāsava.",
459,prāsthikaṃ [37] pippalīṃ piṣṭvā guḍaṃ madhyaṃ bibhītakāt|  udakaprasthasaṃyuktaṃ yavapalle nidhāpayet||160||  tasmāt palaṃ sujātāttu salilāñjalisaṃyutam|  pibetpiṇḍāsavo hyeṣa rogānīkavināśanaḥ||161||  svastho'pyenaṃ pibenmāsaṃ naraḥ snigdharasāśanaḥ [38] |  icchaṃsteṣāmanutpattiṃ rogāṇāṃ ye'tra kīrtitāḥ||162|| iti piṇḍāsavaḥ,"Therefore, one should drink this rice-water, which is mixed with well-prepared sugar and jujube paste, is combined with water in the palms joined together, and is a drink that destroys diseases. Even a healthy person who regularly consumes unctuous foods should drink it once a month to prevent the occurrence of diseases as mentioned before. This is called rice-water.",
460,nave pippalimadhvākte kalase'gurudhūpite|  madhvāḍhakaṃ jalasamaṃ cūrṇānīmāni dāpayet||163||  kuḍavārdhaṃ viḍaṅgānāṃ pippalyāḥ kuḍavaṃ tathā|  caturthikāṃśāṃ tvakkṣīrīṃ keśaraṃ maricāni ca||164||  tvagelāpatrakaśaṭīkramukātiviṣāghanān|  hareṇvelvālutejohvāpippalīmūlacitrakān||165||  kārṣikāṃstat sthitaṃ māsamata ūrdhvaṃ prayojayet|  mandaṃ sandapayatyagniṃ karoti viṣamaṃ samam||166||  hṛtpāṇḍugrahaṇīrogakuṣṭhārśaḥśvayathujvarān|  vātaśleṣmāmayāṃścānyānmadhvariṣṭo vyapohati||167||  iti madhvariṣṭaḥ,"Using fresh pippali (long pepper) and madhva (honey), one should offer a mixture of crushed samit (water-soaked unbroken rice grains), cūrṇāni (powders) made from kuḍava (black pepper), viḍaṅgānām (cloves), pippalyāḥ (long pepper), kuḍavam (black pepper), tvakkṣīrīm (cinnamon), keśaram (cardamom), and maricāni (dry ginger) in a pot containing water infused with aguru (agalloch). The mixture should also include hareṇvelvālu (saffron strands), tejohvāpippalīmūlacitraka (roots of pippalī, tejohva and citraka plants), tvagelāpatra (tree barks), kaśaṭī (costus), kramuka (herbs that promote digestion) and other such herbs. This mixture, known as madhvariṣṭaḥ, is used to treat ailments such as heart diseases, cough, fever, indigestion, and those caused by vāta (wind), śleṣma (phlegm) and āma (toxins).",
461,samūlāṃ pippalīṃ kṣārau dvau pañca lavaṇāni ca|  mātuluṅgābhayārāsnāśaṭīmaricanāgaram||168||  kṛtvā samāṃśaṃ taccūrṇaṃ pibet prātaḥ sukhāmbunā|  śleṣmike grahaṇīdoṣe balavarṇāgnivardhanam||169||  etairevauṣadhaiḥ siddhaṃ sarpiḥ peyaṃ samārute|,"Having crushed together the dried root of pippalí, two types of kshára, five salty substances, mātuluṅga, abhayārāsnāśaṭīmari, and nāgaram, one should drink it in the morning as a pleasant beverage, mixed with water. This mixture is beneficial in treating imbalances of kapha and agni. With these medicinal ingredients, clarified butter is considered to have been effectively prepared.",
462,gaulmike ṣaṭpalaṃ proktaṃ bhallātakaghṛtaṃ ca yat||170||,"In the Gaumika (probably a particular text or tradition), six palm-lengths are mentioned as the measurement for Bhallaataka poison.",
463,biḍaṃ kālotthalavaṇaṃ sarjikāyavaśūkajam|  saptalāṃ kaṇṭakārīṃ ca citrakaṃ ceti dāhayet||171||  saptakṛtvaḥ srutasyāsya kṣārasya [39] dvyāḍhakena tu|  āḍhakaṃ sarpiṣaḥ paktvā pibedagnivivardhanam||172||  iti kṣāraghṛta,"The one who knows (vidam) should ignite and burn with a fire fueled by the clarified butter of this dissolved salt (ksharaghrita), which is made from the churning of seven measures (saptalam) of water (kala) with the addition of lavaṇa, sarjikaya, vasuka, and jama substances, along with the citraka plant; this process should be repeated seven times (saptakritva); drinking the ghee that remains after boiling the curdled milk (sarpisha) aids in the strengthening of the digestive fire (agni).",
464,samūlāṃ pippalīṃ pāṭhāṃ cavyendrayavanāgaram|  citrakātiviṣe hiṅgu śvadaṃṣṭrāṃ kaṭurohiṇīm||173||  vacāṃ ca kārṣikaṃ pañcalavaṇānāṃ palāni ca|  dadhnaḥ prasthadvaye tailasarpiṣoḥ kuḍavadvaye||174||  khaṇḍīkṛtāni niṣkvāthya śanairantargate rase|  antardhūmaṃ tato dagdhavā cūrṇaṃ kṛtvā ghṛtāplutam||175||  pibet pāṇitalaṃ tasmiñjīrṇe syānmadhurāśanaḥ|  vātaśleṣmāmayānsarvānhanyādviṣagarāṃśca saḥ||176||,"Consuming the powdered dry Pippalii fruit and Samula fruit, along with a mixture of",
465,bhallātakaṃ trikaṭukaṃ triphalāṃ lavaṇatrayam| , antardhūmaṃ dvipalikaṃ gopurīṣāgninā dahet||177||  sa kṣāraḥ sarpiṣā pīto bhojye vā'pyavacūrṇitaḥ|  hṛtpāṇḍugrahaṇīdoṣagulmodāvartaśūlanut||178||,"The pungent poison, the three-pointed and bitter-tasting fruit, the group of three salts; the internal smoke, the cow dung, consumed by fire; the alkali, mixed with ghee or eaten in food, that which causes burning in the heart, removal of phlegm, bile, and intestinal worms – all these completely destroy."
466,durālabhāṃ karañjau dvau saptaparṇaṃ savatsakam|  ṣaḍgranthāṃ madanaṃ mūrvāṃ pāṭhāmāragvadhaṃ tathā||179||  gomūtreṇa samāṃśāni kṛtvā cūrṇāni dāhayet|  dagdhvā ca taṃ pibet kṣāraṃ grahaṇībalavardhanam||180||,"Obtain with difficulty these two karanj flowers and the seven-leaved plant with the name savatsaka, along with the six-bundled madana herb and the murcha plant. After grinding them together with cow's urine and reducing them to ashes, consume those ashes, which enhance digestive power.",
467,bhūnimbaṃ rohiṇīṃ tiktāṃ paṭolaṃ nimbaparpaṭam|  dahenmāhiṣamūtreṇa kṣāra eṣo'gnivardhanaḥ||181||,"This alkaline bhūṇimba, bitter rohiṇī, paṭola, and sour nimba-parpaṭa, when combined with the emission of a male animal's ""dahenmāhiṣa"" and kṣāra, increase agni's strength.",
468,dve haridre vacā kuṣṭhaṃ citrakaḥ kaṭurohiṇī|  mustaṃ ca bastamūtreṇa dahet kṣāro'gnivardhanaḥ||182||,"With two [dve] ingredients, namely turmeric (haridre) and black cumin seeds (kustham), as well as citraka, kaṭu, rohiṇī, musta; when cooked with bastamootra, it eliminates kshara and increases the heat of agni.",
469,catuṣpalaṃ sudhākāṇḍāttripalaṃ lavaṇatrayāt|  vārtākīkuḍavaṃ cārkādaṣṭau dve citrakāt pale||183||  dagdhāni vārtākurase guṭikā bhojanottarāḥ|  bhuktaṃ bhuktaṃ pacantyāśu kāsaśvāsārśasāṃ hitāḥ||184||  visūcikāpratiśyāyahṛdrogaśamanāśca tāḥ|  ityeṣā kṣāraguṭikā kṛṣṇātreyeṇa kīrtitā||185||  iti kṣāraguḍikā,"The pill-like preparation made of four ingredients including sugar and three types of salt is called vārtākīkuḍava. It is advised to consume it quickly after mixing with water, as it alleviates Kapha-related ailments such as diarrhea, cough, and dyspnea. This has been described as kṣāraguṭikā in the Ātreya text.",
470,vatsakātiviṣe pāṭhāṃ duḥsparśāṃ hiṅgu citrakam|  cūrṇīkṛtya palāśāgrakṣāre mūtrasrute pacet||186||  āyase bhājane sāndrāttasmāt [40] kolaṃ sukhāmbunā|  madyairvā grahaṇīdoṣaśothārśaḥpāṇḍumān pibet||187||  iti caturthakṣāraḥ,"After milking the calf, one should churn curd with a pestle made of citraka wood, and having finely crushed palasha tree bark in water mixed with urine, cook it. Then, on the fourth day of this process, strain the liquid through a filter made from kola plant and made smooth with sukhambu juice, and let an alcohol-free person drink it to remove any impurities caused by alcohol. (186-187)",
471,triphalāṃ kaṭabhīṃ cavyaṃ bilvamadhyamayorajaḥ|  rohiṇīṃ kaṭukāṃ mustaṃ kuṣṭhaṃ pāṭhāṃ ca hiṅgu ca||188||  madhukaṃ muṣkakayavakṣārau trikaṭukaṃ vacām|  viḍaṅgaṃ pippalīmūlaṃ svarjikāṃ nimbacitrakau||189||  mūrvājamodendrayavān guḍūcīṃ devadāru ca|  kārṣikaṃ lavaṇānāṃ ca pañcānāṃ palikānpṛthak||190||  bhāgān dadhni trikuḍave ghṛtatailena mūrcchitam|  antardhūmaṃ śanairdagdhvā tasmāt pāṇitalaṃ pibet||191||  sarpiṣā kaphavātārśograhaṇīpāṇḍurogavān|  plīhamūtragrahaśvāsahikkākāsakrimijvarān||192||  śoṣātisārau śvayathuṃ pramehānāhahṛdgrahān|  hanyāt sarvaviṣaṃ [41] caiva kṣāro'gnijanano varaḥ||193||  jīrṇe rasairvā madhurairaśnīyāt payasā'pi vāiti pañcamakṣāraḥ,"Consuming a mixture of the three fruits, kaṭabhī, cavya, and bilva, along with the juices of madhyamaya, rohiṇī, musta, kuṣṭha, pāṭhā, hiṅgu, madhuka, muṣkakayavakṣarau, trikaṭukam, vacam, viḍaṅga, pippalīmūla, nimba and citraka, combined with the powders of mūrvā, indra, guḍūcī, devadāru, kārṣika, and lavaṇānām, each in equal parts, taken with ghee and milk when digestive fires are subdued, purifies the body by eliminating all impurities, phlegm, wind, bile, piles, urinary disorders, cough, hiccoughs, and fevers. It destroys all toxins and cures old age and diseases caused by the imbalance of the three doshas, viz., kapha, vāta, and pitta. The fifth kṣāra, prepared from the juices of madhura fruits, is beneficial when consumed along with payasā.",
472,tridoṣe vidhividvaidyaḥ pañca karmāṇi kārayet||194||  ghṛtakṣārāsavāriṣṭān dadyāccāgnivivardhanān|  kriyā yā cānilādīnāṃ nirdiṣṭā grahaṇīṃ prati||195||  vyatyāsāttāṃ samastāṃ vā kuryāddoṣaviśeṣavit|,"In the case of the three doshas, the specialist should perform the five treatments: ghee, kshara, asava, and arishta should be administered; additionally, those that are suitable for vata and similar ailments should be prescribed; one who is knowledgeable about the specifics of dosha should implement all of them or only the appropriate ones.",
473,snehanaṃ svedanaṃ śuddhirlaṅghanaṃ dīpanaṃ ca yat||196||  cūrṇāni lavaṇakṣāramadhvariṣṭasurāsavāḥ|  vividhāstakrayogāśca dīpanānāṃ ca sarpiṣām||197||  grahaṇīrogibhiḥ sevyāḥ,"The rejuvenative measures consist of sweat-inducing and oleation , as well as purification , ingestion , and stimulation . These can be achieved through various combinations of powders , salts , alkalis , fermented liquors , and other substances . Additionally, ghee can be used in various ways for stimulation. These treatments should be administered by those skilled in managing the relevant orifices and their functions.",
474,kriyāṃ cāvasthikīṃ śṛṇu|  ṣṭhīvanaṃ ślaiṣmike rūkṣaṃ dīpanaṃ tiktasaṃyutam||198||,"Listen about the persistent action, characterized by stiffening in the cold and pungent region.",
475,sakṛdrūkṣaṃ sakṛtsnigdhaṃ kṛśe bahukaphe hitam|  parīkṣyāmaṃ śarīrasya dīpanaṃ snehasaṃyutam||199||,"We shall examine closely whether the body's illumination has occurred due to being once touched by dryness, moistness, emaciation, or abundance of phlegm, and its union with affection.",
476,dīpanaṃ bahupittasya tiktaṃ madhurasaṃyutam| bahuvātasya tu snehalavaṇāmlayutaṃ hitam||200||,"The illuminator of many substances, pungent yet sweet-tasting, beneficial for those with an excess of wind humor and mixed with tastes such as sour, salty, and bitter.",
477,sandhukṣati tathā vahnireṣāṃ vidhivadindhanaiḥ| snehameva paraṃ vidyāddurbalānaladīpanam||201||,"""The fire, like this, kindles appropriately with fuel , for which the ultimate knowledge is to be compassionate even towards the weak flame .""",
478,nālaṃ snehasamiddhasya śamāyānnaṃ sugurvapi|  mandāgniravipakvaṃ tu purīṣaṃ yo'tisāryate||202||  dīpanīyauṣadhairyuktāṃ ghṛtamātrāṃ pibettu saḥ| tayā samānaḥ pavanaḥ prasanno [42] mārgamāsthitaḥ||203|| agneḥ samīpacāritvādāśu prakurute balam|,"For one who is not capable of controlling their emotions, even a small amount of well-cooked food is difficult to digest. If they drink ghee (clarified butter) mixed with medicinal herbs, equal in quantity to their own strength, their bodily purification will be enhanced and they will become stronger more quickly by staying close to the fire of Agni.",
479,kāṭhinyādyaḥ purīṣaṃ tu kṛcchrānmuñcati mānavaḥ||204||  saghṛtaṃ lavaṇairyuktaṃ naro'nnāvagrahaṃ pibet|,A man should relieve himself with difficulty of hard excrement, a softened and salt-mixture should be eaten by a person without initial aversion.
480,raukṣyānmande pibetsarpistailaṃ vā dīpanairyutam||205||,"In the dim lamp's light, one should sip sesame oil as a drink.",
481,atisnehāttu mande'gnau cūrṇāriṣṭāsavā hitāḥ|  bhinne gudopalepāttu male tailasurāsavāḥ||206||,"Even a small amount of fuel, when handled with great care in a damp fire, can produce a potent brew; similarly, even a broken pot filled with ghee, oil, and sura, if neglected, can cause harm.",
482,udāvartāttu mande'gnau nirūhāḥ snehabastayaḥ|  doṣavṛddhyā tu mande'gnau śuddho doṣavidhiṃ caret||207||,"In a weakened fire, one should initially hold back affectionate fuel; when the faults increase, one should carefully follow the proper method for purification.",
483,vyādhiyuktasya mande tu sarpirevāgnidīpanam|  upavāsācca mande'gnau yavāgūbhiḥ pibedghṛtam||208||  annāvapīḍitaṃ balyaṃ dīpanaṃ bṛṃhaṇaṃ ca tat|,"For the weak, affected by disease, just as offering fuel to a weakened snake, so too should they sip ghee in fire made from barley grains; for that restricted diet nourishes and increases the strength of the weakened.",
484,dīrghakālaprasaṅgāttu kṣāmakṣīṇakṛśānnarān||209||  prasahānāṃ rasaiḥ sāmlairbhojayet piśitāśinām|  laghu tīkṣṇoṣṇaśodhitvāddīpayantyāśu te'nalam||210||  māṃsopacitamāṃsatvāttathā''śutarabṛṃhaṇāḥ|,"Due to prolonged association, one becomes tolerant towards the harsh bitterness of the unrefined; one should feed such rough-mannered individuals with well-prepared meats, as this quickly enhances their nourishment and increases their sharpness and warmth.",
485,nābhojanena kāyāgnirdīpyate nātibhojanāt||211||  yathā nirindhano vahniralpo vā'tīndhanāvṛtaḥ|,"Not by scanty eating does the body of a person get ignited, nor by overeating. Like a poorly fed or a well-fed fire enveloped by its fuel, so is the case with the body.",
486,snehānnavidhibhiścitraiścūrṇāriṣṭasurāsavaiḥ  ||212||  samyakprayuktairbhiṣajā balamagneḥ pravardhate|  yathā hi sāradārvagniḥ sthiraḥ santiṣṭhate ciram||213||,"The strength of a person is augmented by physicians who skillfully and appropriately use medicines made from pure ingredients, just as the fire of the autumn season remains steady for a long time.",
487,snehānnavidhibhistadvadantaragnirbhavet sthiraḥ|  hitaṃ jīrṇe mitaṃ cāśnaṃściramārogyamaśnute||214||  avaiṣamyeṇa dhātūnāmagnivṛddhau yateta nā|  samairdoṣaiḥ samo madhye dehasyoṣmā'gnisaṃsthitaḥ||215||  pacatyannaṃ tadārogyapuṣṭyāyurbalavṛddhaye|  doṣairmando'tivṛddho vā viṣamairjanayedgadān||216||  vācyaṃ mandasya tatroktamativṛddhasya vakṣyate|,"With a steady mind similar to the fire enveloped by control through affection for the proper foods, one obtains long-term health as time passes. When the digestive fire is balanced in the middle of the body, it digests food properly, promoting health, strength, and growth. If the fire becomes excessive or deficient due to imbalanced factors, it may produce harmful effects on the body. This has been stated for the case of a weakened person, and will be discussed further in regards to an excessively heated condition.",
488,nare kṣīṇakaphe pittaṃ kupitaṃ mārutānugam||217||  svoṣmaṇā pāvakasthāne balamagneḥ prayacchati|  tadā labdhabalo dehe virūkṣe sānilo'nalaḥ||218||  paribhūya pacatyannaṃ taikṣṇyādāśu muhurmuhuḥ|  paktvā'nnaṃ sa tato dhātūñchoṇitādīn pacatyapi||219||,"In the presence of a person whose bile has decreased in the damaged stomach, the wind follows. Then, having gained strength in the body, just as fire placed in its proper fuel, it consumes the food thoroughly and quickly. Afterwards, it digests even the humors such as blood and others.",
489,tato daurbalyamātaṅkānmṛtyuṃ copanayennaram|  bhukte'nne labhate śāntiṃ jīrṇamātre pratāmyati||220||  tṛṭśvāsadāhamūrcchādyā vyādhayo'tyagnisambhavāḥ|  tamatyagniṃ gurusnigdhaśītairmadhuravijjalaiḥ||221||  annapānairnayecchāntiṃ dīptamagnimivāmbubhiḥ|  muhurmuhurajīrṇe'pi bhojyānyasyopahārayet||222||  nirindhano'ntaraṃ labdhvā yathainaṃ na vipādayet|,"From that point, one should lead a weakened person (towards strength), and also guide them away from fear of death. By eating moderately, they will achieve peace. With cool and soothing actions of gurus, one can counter diseases such as hiccups, fainting, etc., which arise from an imbalance of bodily fire. Just as rain extinguishes a blazing fire, one should consume foods and drinks in small quantities, even if hungry, to prevent aggravating the disease. Having fully recovered, one should cautiously return to their regular diet.",
490,pāyasaṃ kṛśarāṃ snigdhaṃ paiṣṭikaṃ guḍavaikṛtam||223||  adyāttathaudakānūpapiśitāni bhṛtāni ca|  matsyānviśeṣataḥ ślakṣṇānsthiratoyacarāṃstathā||224||  āvikaṃ ca bhṛtaṃ māṃsamadyādatyagnināśanam [46] |,"Today, prepare a thin and smooth rice pudding, made with easily digestible ingredients. Also, cook fish that is tender, does not swim in water, and is served as an offering to the fire.",
491,yavāgūṃ samadhūcchiṣṭāṃ ghṛtaṃ vā kṣudhitaḥ pibet||225||  godhūmacūrṇamanthaṃ vā vyadhayitvā sirāṃ pibet|  payo vā śarkarāsarpirjīvanīyauṣadhaiḥ śṛtam||226||,"Even if hungry, one should sip either leftover sacrificial gruel or ghee; or after churning and straining, the water from boiled barley; or from milk, sugar, clarified butter, or medicinal herbs.",
492,phalānāṃ tailayonīnāmutkruñcāśca [47] saśarkarāḥ|  mārdavaṃ janayantyagneḥ snigdhā māṃsarasāstathā||227||,"The churning of milk produces cream and butter; similarly, the agni (fire) brings about mellowness and softness in meat.",
493,pibecchītāmbunā sarpirmadhūcchiṣṭena saṃyutam|  godhūmacūrṇaṃ payasā sasarpiṣkaṃ pibennaraḥ||228||  ānūparasasiddhān vā trīn snehāṃstailavarjitān|  payasā sammitaṃ [48] cāpi ghanaṃ trisnehasaṃyutam||229||  nāristanyena saṃyuktāṃ pibedaudumbarīṃ tvacam|  tābhyāṃ vā pāyasaṃ siddhamadyādatyagniśāntaye||230||,"One may drink milk, mixed with honey and madhuka (a type of plant), which is uncontaminated and increased three times with the addition of snehana (an ointment or a medicinal product), as well as clarified butter, for soothing the stomach. Alternatively, one may drink rice washed in water, mixed with milk, or payasam (a sweet dish made of milk and sugar) for appeasing the fire within.",
494,śyāmātrivṛdvipakvaṃ vā payo dadyādvirecanam|  asakṛt pittaśāntyarthaṃ pāyasapratibhojanam||231||  prasamīkṣya bhiṣak prājñastasmai dadyādvidhānavit|,"Upon seeing a person who has regularly consumed milk that has been ripened from the black myrobalan tree for the purpose of pacifying bile, an intelligent physician should administer a treatment.",
495,yatkiñcinmadhuraṃ medyaṃ śleṣmalaṃ gurubhojanam||232||  sarvaṃ tadatyagnihitaṃ bhuktvā prasvapanaṃ divā|  medyānyannāni yo'tyagnāvapratāntaḥ [49] samaśnute||233||  na tannimittaṃ vyasanaṃ labhate puṣṭimeva ca|  kaphe vṛddhe jite pitte mārute cānalaḥ samaḥ||234||,"Consuming anything, however sweet, that is unctuous and heavy, (one should leave) that all behind upon retiring for the day; only partaking of lighter, more astringent foods. This practice does not result in adversity or loss of nourishment, as with an overgrown cucumber, when a cooker is boiling, during the ripening of a gourd, when milk is churned into butter, or when the wind blows equally against a blowing flame.",
496,bhavanti cātra  pathyāpathyamihaikatra bhuktaṃ samaśanaṃ matam||235||  viṣamaṃ bahu vā'lpaṃ vā'pyaprāptātītakālayoḥ|  bhuktaṃ pūrvānnaśeṣe tu punaradhyaśanaṃ matam||236||  trīṇyapyetāni mṛtyuṃ vā ghorān vyādhīnsṛjanti vā|,"Here, some are suitable to be followed, and others are to be avoided; this is the established rule. Both abundant or scanty portions, if not previously enjoyed or expired, are considered improper to consume at an inappropriate time. Any leftover food from a previous meal should be consumed; otherwise, it is advised to eat again. These three actions could lead to encountering one of the two dreadful forms of death: either bringing about a sudden death or creating severe diseases.",
497,prātarāśe tvajīrṇe'pi sāyamāśo na duṣyati||237||  divā prabudhyate'rkeṇa hṛdayaṃ puṇḍarīkavat|  tasminvibuddhe srotāṃsi sphuṭatvaṃ yānti sarvaśaḥ||238||  vyāyāmācca vihārācca vikṣiptatvācca cetasaḥ|  na kledamupagacchanti divā tenāsya dhātavaḥ||239||,"At dawn, even if it's worn out, the body doesn't get damaged by evening. During daytime, when the intellect is awakened by the sun, all senses function clearly. Through exercise, leisure, and a distracted mind during the day, his bodily tissues do not become congested.",
498,aklinneṣvannamāsiktamanyatteṣu na duṣyati|  avidagdha iva kṣīre kṣīramanyadvimiśritam||240||  naiva dūṣyati tenaiva samaṃ sampadyate yathā|,"Just as clarified butter does not become impure when mixed with curd, similarly, it does not get tainted if mixed with other substances. It remains pure and equal to itself, just like that, the stainless yogi also does not get tainted among various dualities , just as clarified butter does not become impure when mixed with curd or other substances. This is how it is.",
499,rātrau tu hṛdaye mlāne saṃvṛteṣvayaneṣu ca|  yānti koṣṭhe parikledaṃ saṃvṛte dehadhātavaḥ||241||  klinneṣvanyadapakveṣu teṣvāsiktaṃ praduṣyati|  vidagdheṣu payaḥsvanyat payastaptamivārpitam||242||  naiśeṣvāhārajāteṣu nāvipakveṣu buddhimān|  tasmādanyatsamaśnīyātpālayiṣyanbalāyuṣī||243||,"During the night, when the senses are restrained and the mind is still in sleep, the vital energies (prana) withdraw into the heart. When these energies become weakened or impure due to unwholesome impressions from past experiences, the intelligence becomes affected, just as milk turns sour when left out. Therefore, a wise person should carefully select and consume only wholesome food and nourishment, avoiding unripe or overripe substances, in order to maintain balance and longevity.",
500,tatra ślokāḥ  antaragniguṇā dehaṃ yathā dhārayate ca saḥ|  yathā'nnaṃ pacyate yāṃśca yathā''hāraḥ karotyapi||244|| ye'gnayo yāṃśca puṣyanti yāvanto ye pacanti yān|  rasādīnāṃ kramotpattirmalānāṃ tebhya eva ca||245||  vṛṣyāṇāmāśukṛddheturdhātukālodbhavakramaḥ|  rogaikadeśakṛddheturantaragniryathā'dhikaḥ||246||  praduṣyati yathā duṣṭo yān rogāñjanayatyapi|  grahaṇī yā yathā [53] yacca grahaṇīdoṣalakṣaṇam||247||  pūrvarūpaṃ pṛthak caiva vyañjanaṃ sacikitsitam|  caturvidhasya nirdiṣṭaṃ tathā cāvasthikī kriyā||248||  jāyate ca yathā'tyagniryacca tasya cikitsitam|  uktavāniha tat sarvaṃ grahaṇīdoṣake muniḥ||249||,"In that (tantra), the verses describe how just as a fire within enkindles the body, similarly it cooks food and digests it; some fires make things grow, some make them ripen, and bring about the manifestation of tastes and other qualities in substances. The sequence of maturation, origin, and development of reproductive fluids is also likened to a fire. Just as an out-of-control fire can burn uncontrollably, cause diseases, and affect certain body parts, similarly grahaṇī disorder (a digestive condition) manifests in various ways. Its early symptoms are well-known, and it is of four types, along with its specific treatment. The sage has spoken here about everything related to grahaṇī disorder.",
501,ityagniveśakṛte tantre'prāpte dṛḍhabalasampūrite cikitsāsthāne  grahaṇīcikitsitaṃ nāma pañcadaśo'dhyāyaḥ||15||,"""The fifteen chapters of the medical text, named 'Grahaṇīcikitsita,' have been firmly and abundantly revealed in the fire ritual by the fire priest.""",
502,athāta udaracikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"""Now, we shall explain the 'treatise of the abdomen.' Thus spoke the Lord Atreya.""

Here's the breakdown of the translation based on the word split meanings:

- athātaḥ: now
- udara: abdomen (referring to a treatise or topic about it)
- cikitsitam: treatment, care; here, it can also imply the subject matter related to understanding or treating the abdomen
- vyākhyāsyāmaḥ: we shall explain
- iti: thus, in this way
- ha: (used for emphasis or confirmation) yes, indeed
- sma: (past tense marker) indicating past action/speech
- āha: said, spoke
- bhagavān: Lord (referring to Atreya as a teacher or revered person)
- ātreyaḥ: the surname or lineage of the speaker, implying ""Atreya""",
503,siddhavidyādharākīrṇe kailāse nandanopame|  tapyamānaṃ tapastīvraṃ sākṣāddharmamiva sthitam||3||,"In the Kailasa abundantly populated by perfected beings (siddhas) and vidyadharas, engaged in severe austerities, appearing as Dharma itself.",
504,āyurvedavidāṃ śreṣṭhaṃ bhiṣagvidyāpravartakam|  punarvasuṃ jitātmānamagniveśo'bravīdvacaḥ||4||,"The best among those who know the knowledge of longevity (ayurveda) and the one who initiates the medical science spoke again to Vasu, who had conquered his inner self, as ""O Agnivesa.""",
505,bhagavannudarairduḥkhairdṛśyante hyarditā narāḥ|  śuṣkavaktrāḥ kṛśairgātrairādhmātodarakukṣayaḥ||5||  pranaṣṭāgnibalāhārāḥ sarvaceṣṭāsvanīśvarāḥ|  dīnāḥ pratikriyābhāvājjahato'sūnanāthavat||6||,"Perceived by the revered ones, men are seen to be afflicted by distress, appearing with parched faces and emaciated bodies, their inner organs depleted of vitality, and bereft of strength and energy in all actions. They are wretched, devoid of any initiative, like one without a lord.",
506,teṣāmāyatanaṃ saṅkhyāṃ prāgrūpākṛtibheṣajam|  yathāvacchrotumicchāmi guruṇā samyagīritam||7||,"I wish to hear accurately, as it should be told, the means of healing for the various forms of distortions that is the cure for their number, referring to those [distortions].",
507,sarvabhūtahitāyarṣiḥ śiṣyeṇaivaṃ pracoditaḥ|  sarvabhūtahitaṃ vākyaṃ vyāhartumupacakrame||8||,"The sage, devoted to the well-being of all beings, thus incited by his disciple, set out to utter words promoting the welfare of all beings.",
508,agnidoṣānmanuṣyāṇāṃ rogasaṅghāḥ pṛthagvidhāḥ|  malavṛddhyā pravartante viśeṣeṇodarāṇi tu||9||,"The various types of physical ailments in humans are caused by individual impurities in the body, originating from agni (the digestive fire).",
509,mande'gnau malinairbhuktairapākāddoṣasañcayaḥ|  prāṇāgnyapānān sandūṣya mārgānruddhvā'dharottarān||10||  tvaṅmāṃsāntaramāgamya kukṣimādhmāpayan bhṛśam|  janayatyudaraṃ tasya hetuṃ śṛṇu salakṣaṇam ||11||,"In a weakened fire, with impure, previously consumed (now stale) fuel accumulated, when the paths of Prana and Apana are obstructed, and the digestive fire is forced downwards into the lower abdomen, then hear the cause of the resulting stomach disorder.",
