id,sloka(iast),translation
221,sādhayecchuddhaśuṣkasya laśunasya catuṣpalam|  kṣīrodake'ṣṭaguṇite  kṣīraśeṣaṃ ca nā pibet||94||  vātagulmamudāvartaṃ gṛdhrasīṃ viṣamajvaram|  hṛdrogaṃ vidradhiṃ śothaṃ sādhayatyāśu tatpayaḥ||95||  iti laśunakṣīram |,"Take 160 gm of dried and peeled garlic, add to it 640 ml of milk and 640 ml of water and boil on slow fire till only milk remains. It is known as lashuna kshiram and its oral administration provides quick relief in vata gulma, udavarta, sciatica, irregular fever, heart disease, abscess and inflammation [94-95]"
222,tailaṃ prasannā gomūtramāranālaṃ yavāgrajam|  gulmaṃ jaṭharamānāhaṃ pītamekatra sādhayet||96||  iti tailapañcakam |,"The mixture of castor oil, prasanna wine, cow’s urine, aranala (sour kanji) and yavakshara is known as tailapanchakam. Its oral administration cures gulma, gastric disorders and distension of abdomen [96]"
223,pañcamūlīkaṣāyeṇa sakṣāreṇa  śilājatu|  pibettasya prayogeṇa vātagulmāt pramucyate||97|| iti śilājatuprayogaḥ |,Taking of shilajatu with kshara and decoction of panchamula cures vata gulma. Thus administration of shilajatu is described [97]
224,vāṭyaṃ pippalīyūṣeṇa mūlakānāṃ rasena vā|  bhuktvā snigdhamudāvartādvātagulmādvimucyate||98||,"Taking of barley meal mixed with unctuous substances along with soup of long pepper or juice of radish, provides relief in vata gulma and udavarta [98]"
225,śūlānāhavibandhārtaṃ svedayedvātagulminam|  svedaiḥ svedavidhāvuktairnāḍīprastarasaṅkaraiḥ||99||,"If the patient of vata gulma is also having the complaints of distension of abdomen and constipation then swedana therapy should be given in the form of nadi (cattle sudation), prastara (stone slab sudation) and sankara (mix sudation) sweda as described in Swedadhyaya [99]"
226,bastikarma paraṃ vidyādgulmaghnaṃ taddhi mārutam|  sve sthāne prathamaṃ jitvā sadyo gulmamapohati||100||  tasmādabhīkṣṇaśo gulmā nirūhaiḥ sānuvāsanaiḥ|  prayujyamānaiḥ śāmyanti vātapittakaphātmakāḥ||101||  gulmaghnā vividhā diṣṭāḥ siddhāḥ siddhiṣu bastayaḥ|,"Basti Karma is the best treatment of gulma because it first conquers vata at its natural site and then cures gulma quickly. Therefore niruha and anuvasana basti should be administered repeatedly for cure of vata, pitta and kapha gulma. Various types of basti for the cure of gulma shall be described in Basti Siddhi [100-101]"
227,gulmaghnāni ca tailāni vakṣyante vātarogike||102|| tāni mārutaje gulme pānābhyaṅgānuvāsanaiḥ|  prayuktānyāśu sidhyanti tailaṃ hyanilajitparam [12] ||103||,"The various types of medicated oil useful for gulma will be described in Vatavyadhi Chikitsa. The medicated oils are used for oral administration, massage and anuvasana basti. As oil is best therapy for vata therefore it cures vata gulma quickly [102-103]"
228,nīlinīcūrṇasaṃyuktaṃ pūrvoktaṃ ghṛtameva|  samalāya pradātavyaṃ śodhanaṃ vātagulmine||104||,Accumulated feces of the patient of vata gulma should be eliminated by giving earlier mentioned ghrita mixed with powder nilini.[104]
229,nīlinītrivṛtādantīpathyākampillakaiḥ saha|  śodhanārthaṃ ghṛtaṃ deyaṃ sabiḍakṣāranāgaram||105||,"The ghee prepared with nilini, trivrita, danti, haritaki and kampillaka along with bid-salt and kshara should be given for shodhana [105]"
230,nīlinīṃ triphalāṃ rāsnāṃ balāṃ kaṭukarohiṇīm|  pacedviḍaṅgaṃ vyāghrīṃ ca palikāni jalāḍhake||106||  tena pādāvaśeṣeṇa ghṛtaprasthaṃ vipācayet|  dadhnaḥ prasthena saṃyojya sudhākṣīrapalena ca||107||  tato ghṛtapalaṃ dadyādyavāgūmaṇḍamiśritam|  jīrṇe samyagviriktaṃ ca bhojayedrasabhojanam||108||  gulmakuṣṭhodaravyaṅgaśophapāṇḍvāmayajvarān|  śvitraṃ plīhānamunmādaṃ ghṛtametadvyapohati||109||  iti nīlinyādyaṃ ghṛtam,"Take 50 gm each of nilini, triphala, rasna, bala, katuki, vidanga and kantakari and add to it 2.5 litres of water and prepare the decoction by reducing it to one-fourth. Add to it 640 ml of ghee, 640 ml of curd and 50 ml of latex of snuhi and prepare ghee as per method of sneha-paka. Its 40 ml mixed with manda (liquid obtained by filtering the boiled rice) should be given for virechana. When the patient is well purged and the drug is digested then meat soup is given in diet.   This ghrita cures gulma, kushtha, udara roga, vyanga (freckles), swellings, anemia, fever, leukoderma, splenomegaly and psychic disorders (unmada). Thus nilinyadi ghritam is described [106-109]"
231,kukkuṭāśca mayūrāśca tittirikrauñcavartakāḥ|  śālayo madirā sarpirvātagulmabhiṣagjitam||110||  hitamuṣṇaṃ dravaṃ snigdhaṃ bhojanaṃ vātagulminām|   samaṇḍavāruṇīpānaṃ pakvaṃ vā dhānyakairjalam||111||,"Hot, liquid and unctuous diet is beneficial for the patient of vata gulma. Red rice, wine and ghee; meats of chicken, peacock, partridge (tittara), krauncha (demoiselle) and quail (vartaka) are beneficial for the patient of vata gulma.   Similarly a potion of varuni wine with manda (supernatant fluid of boiled rice) or water boiled with coriander is beneficial [110-111]"
232,mande'gnau vardhate gulmo dīpte cāgnau praśāmyati|  tasmānnā nātisauhityaṃ kuryānnātivilaṅghanam||112||,"With decrease in digestive-power (agni) the gulma is aggravated, while on augmentation of the digestion (agni) the gulma is pacified. Therefore, to the patient of gulma neither excessive nutritional food nor excessive fasting or light food/treatment should be prescribed [112]"
233,sarvatra gulme prathamaṃ snehasvedopapādite|  yā kriyā kriyate siddhiṃ sā yāti na virūkṣite||113||,"In all types of gulma, only that successive treatment is fruitful which is given after subjecting first the patient to snehana and then swedana, but it never success if given after un-unctuous (ruksha) treatment [113]"
234,bhiṣagātyayikaṃ buddhvā pittagulmamupācaret|  vairecanikasiddhena sarpiṣā tiktakena  vā||114||,Physician while dealing with pitta gulma should know that it requires immediate treatment (atyayika). Pitta gulma patient should be given ghee prepared with purgative and bitter drugs [114]
235,rohiṇīkaṭukānimbamadhukatriphalātvacaḥ|  karṣāṃśāstrāyamāṇā ca paṭolatrivṛtoḥ pale||115||,"Take 10 gm each of katuka, neem, liquorices, triphala and trayamana; 40 gm each of patola and trivrita; 80 gm of lentil (masura) and add to it 8 times water; boil on low fire till it reduces to 160 ml. "
236,dve pale ca masūrāṇāṃ sādhyamaṣṭaguṇe'mbhasi|  śṛtāccheṣaṃ ghṛtasamaṃ sarpiṣaśca catuṣpalam||116||  pibet sammūrcchitaṃ tena gulmaḥ śāmyati paittikaḥ|  jvarastṛṣṇā ca śūlaṃ ca bhramo mūrcchā'rucistathā||117||  iti rohiṇyādyaṃ ghṛtam,"Add to it equal quantity of ghee i.e. 160 ml and administer it to the patient orally. It alleviates pitta gulma, fever, thirst, abdominal pain, giddiness, fainting and anorexia. Thus rohinyadi ghrita is described [117]"
237,jale daśaguṇe sādhyaṃ trāyamāṇācatuṣpalam|  pañcabhāgasthitaṃ pūtaṃ kalkaiḥ saṃyojya kārṣikaiḥ||118||,Make decoction by adding 10 times of water to 160 gm of trayamana and reducing it to one fifth. 
238,rohiṇī kaṭukā mustā trāyamāṇā durālabhā|  kalkaistāmalakīvīrājīvantīcandanotpalaiḥ||119||  rasasyāmalakānāṃ ca kṣīrasya ca ghṛtasya ca|  palāni pṛthagaṣṭāṣṭau dattvā samyagvipācayet||120||,"To this decoction add 10 gm paste of katuka, mustaka, trayamana and duralabha; 10 gm paste of tamalaki, veera, jivanti, chandana and lotus; add to it 320 ml juice of amalaki, milk and ghee. From all these, prepare ghrita as per method of sneha pāka. "
239,pittaraktabhavaṃ gulmaṃ vīsarpaṃ paittikaṃ jvaram|  hṛdrogaṃ kāmalāṃ kuṣṭhaṃ hanyādetadghṛtottamam||121||  iti trāyamāṇādyaṃ ghṛtam,"It is best ghrita to cure pitta and rakta-gulma, visarpa, pitta jwara, heart disease, jaundice and kushtha. Thus trayamanadi ghritam is described [118-121]"
240,rasenāmalakekṣūṇāṃ ghṛtapādaṃ  vipācayet|  pathyāpadaṃ pibetsarpistatsiddhaṃ pittagulmanut||122||  ityāmalakādyaṃ ghṛtam,"Prepare ghrita with four parts of juice of amalaki and sugarcane juice, one-fourth part of paste of haritaki and one part of ghee. It is to be taken orally to cure pitta gulma. Thus amalakadyam ghritam is described [122]"
241,drākṣāṃ madhūkaṃ kharjūraṃ vidārīṃ saśatāvarīm|  parūṣakāṇi triphalāṃ sādhayetpalasammitam||123||  jalāḍhake pādaśeṣe rasamāmalakasya ca|  ghṛtamikṣurasaṃ kṣīramabhayākalkapādikam||124||  sādhayettadghṛtaṃ siddhaṃ śarkarākṣaudrapādikam|  prayogāt pittagulmaghnaṃ sarvapittavikāranut||125||  iti drākṣādyaṃ ghṛtam,"Take 40 gm each of raisin, madhuka (mahva), date, vidari, shatavari, parushaka and triphala and add to it 2560 ml of water and boil till reduced to one-fourth. To this decoction add 640 gm each of ghee, sugar-cane juice, juice of amalaki and milk and its one fourth part of paste of haritaki; and prepare ghrita as per method of sneha-paka. Take this ghee by adding one fourth quantities of sugar and honey. It cures pitta-gulma and all types of pitta disorders. Thus drakshdyam ghritam is described [123-125]"
242,vṛṣaṃ samūlamāpothya pacedaṣṭaguṇe jale|  śeṣe'ṣṭabhāge tasyaiva puṣpakalkaṃ pradāpayet||126||  tena siddhaṃ ghṛtaṃ śītaṃ sakṣaudraṃ pittagulmanut|  raktapittajvaraśvāsakāsahṛdroganāśanam||127||  iti vāsāghṛtam,"Take whole plant of vasa including its root and make decoction by adding to it eight times water and reducing to one-eighth. Add to the decoction, paste of its flower and ghee and prepare the ghrita. It is to be taken with honey which cures pitta gulma, piles, fever, dyspnea, cough and heart disease. Thus vasaghritam is described [126-127]"
243,dvipalaṃ trāyamāṇāyā jaladviprasthasādhitam|  aṣṭabhāgasthitaṃ pūtaṃ koṣṇaṃ kṣīrasamaṃ pibet||128||  pibedupari tasyoṣṇaṃ kṣīrameva yathābalam|  tena nirhṛtadoṣasya gulmaḥ śāmyati paittikaḥ||129||,Take 80 gm of trayamana and make decoction by adding 1.280 litre of water and reducing to one-eighth and filter it. Take it by adding equal quantity of warm milk and thereafter take as much milk as one can digest. This preparation eliminates the toxic substances and thus cures pitta gulma [128-129]
244,drākṣābhayārasaṃ gulme paittike saguḍaṃ pibet|  lihyātkampillakaṃ vā'pi virekārthaṃ madhudravam||130||,In patient of pitta gulma the virechana can be performed by administration of decoction of raisins and haritaki with jaggery or by licking powder of kampillaka with honey [130]
245,dāhapraśamano'bhyaṅgaḥ sarpiṣā pittagulminām|  candanādyena tailena tailena madhukasya vā||131||,"For relieving burning sensation in the patient of gulma, massage with ghee or chandanadi taila or medicated oil prepared with madhuka should be done [131]"
246,ye ca pittajvaraharāḥ  satiktāḥ kṣīrabastayaḥ|  hitāste pittagulmibhyo vakṣyante ye ca siddhiṣu||132||,Kshira-basti comprising of bitter drugs described for pitta fever as well as which will be described in Siddhi Sthana are also beneficial for curing pitta gulma [132]
247,śālayo jāṅgalaṃ māṃsaṃ gavyāje payasī ghṛtam|  kharjūrāmalakaṃ drākṣāṃ dāḍimaṃ saparūṣakam||133||  āhārārthaṃ prayoktavyaṃ pānārthaṃ salilaṃ śṛtam|  balāvidārīgandhādyaiḥ pittagulmacikitsitam||134||,"Red rice, meat of wild animals, milk and ghee of cow and goat, dates, grapes, pomegranates, amalaki and parushaka are wholesome diet articles for eating and water boiled with bala-vidarigandhadi drugs for drinking for the patient of pitta gulma [133-134]"
248,āmānvaye pittagulme sāme vā kaphavātike|  yavāgūbhiḥ khaḍairyūṣaiḥ sandhukṣyo'gnirvilaṅghite||135||,"Pitta gulma or kapha-vata gulma if associated with ama, first it should be subjected to langhana and then given cooked rice (yavagu) and vegetable or pulse soup to enhance the digestion [135]"
249,śamaprakopau doṣāṇāṃ sarveṣāmagnisaṃśritau|  tasmādagniṃ sadā rakṣennidānāni ca varjayet||136||,"Equilibrium or provocation of all the dosha depend upon the condition of agni (digestion and metabolism), hence one should always take its care and avoid such causes which disturb it [136]"
250,vamanaṃ vamanārhāya pradadyāt kaphagulmine|,Vamana karma should be done in kapha gulma provided the patient is fit for it [136½]
251,snigdhasvinnaśarīrāya gulme śaithilyamāgate||137||  pariveṣṭya pradīptāṃstu balvajānathavā kuśān|  bhiṣakkumbhe samāvāpya gulmaṃ ghaṭamukhe nyaset||138||,"First make the kapha gulma loose (shaithilya) by snehana and swedana therapies then following operation should be performed on the patient:  Cover the brim of gulma with a piece of cloth and on the inner portion of the brim put an earthen lid containing ignited balvaja or small sacrificial grass (kusha). Then place the mouth of an inverted empty pot on it in such a way so that it covers and fit on the brim. Due to negative pressure produced inside the pot by the fire, the mouth of the pot will strongly adhere to the brim and the lump will be pulled into the pot. T"
252,saṅgṛhīto  yadā gulmastadā ghaṭamathoddharet|  vastrāntaraṃ tataḥ kṛtvā bhindyādgulmaṃ  pramāṇavit||139||  vimārgājapadādarśairyathālābhaṃ prapīḍayet|  mṛdnīyādgulmamevaikaṃ na tvantrahṛdayaṃ  spṛśet||140||,"hen remove the pot and tightly tie the bottom of this bulged portion of the gulma and then puncture it. Thereafter, with the help of any available instruments such as vimarga, ajapada and adarsha, only the gulma part is squeezed or compressed, without touching the intestines and heart. This operation should be done only by the expert surgeon in the technique [137-140]"
253,tilairaṇḍātasībījasarṣapaiḥ parilipya ca|    śleṣmagulmamayaḥpātraiḥ sukhoṣṇaiḥ svedayedbhiṣak||141||,"After the above operation apply the paste made from sesame, castor seed, linseeds and mustard seeds on the gulma and do its sudation through bearable hot iron pot [141]"
254,savyoṣakṣāralavaṇaṃ daśamūlīśṛtaṃ ghṛtam|  kaphagulmaṃ jayatyāśu sahiṅgubiḍadāḍimam||142||  iti daśamūlīghṛtam|,"Prepare a medicated ghee with decoction of dashamula, paste of trikatu, yavakshara, salt, asafoetida, bid-salt and pomegranate, and ghee. Its oral use quickly subsides kapha gulma. Thus dashamuli-ghritam is described. [142]"
255,bhallātakānāṃ dvipalaṃ pañcamūlaṃ palonmitam|  sādhyaṃ vidārīgandhādyamāpothya salilāḍhake||143||  pādaśeṣe rase tasmin pippalīṃ nāgaraṃ vacām|  viḍaṅgaṃ saindhavaṃ hiṅgu yāvaśūkaṃ biḍaṃ śaṭīm||144||  citrakaṃ madhukaṃ rāsnāṃ piṣṭvā karṣasamaṃ bhiṣak|  prasthaṃ ca payaso dattvā ghṛtaprasthaṃ vipācayet||145||  etadbhallātakaghṛtaṃ kaphagulmaharaṃ param|     plīhapāṇḍvāmayaśvāsagrahaṇīrogakāsanut||146||  iti bhallātakādyaṃ ghṛtam,"Take coarse powder of 80 gm of bhallataka, 40 gm of laghu panchamula and 40 gm of vidarigandhadi and prepare a decoction by adding 2.5 liters of water and reducing to one-fourth. To this decoction add paste made of 10 gm each of long pepper, dry ginger, vacha, vidanga, rock and bid salts, asafoetida, yavakshara, chitraka, shati, liquorices and rasna; 640 ml each of milk and ghee and make ghrita as per method of sneha paka. Oral use of bhallatakadyam ghritam is best for providing cure to kapha gulma. It also provides relief in spleen disorders, anemia, asthma, assimilation disorders and cough. Thus bhallatakadyam ghritam is described [143-146]"
256,pippalīpippalīmūlacavyacitrakanāgaraiḥ|  palikaiḥ sayavakṣārairghṛtaprasthaṃ vipācayet||147||  kṣīraprasthaṃ ca tat sarpihanti gulmaṃ kaphātmakam|  grahaṇīpāṇḍurogaghnaṃ plīhakāsajvarāpaham||148||  iti kṣīraṣaṭpalakaṃ ghṛtam,"Make a paste of 40 gm each of fruits and roots of long pepper, chavya and chitraka, yavakshara and dried ginger and add to it 640 gm each of ghee and milk, and prepare a medicated ghee. This ghrita cures kapha gulma, grahani (chronic assimilation disorders), anemia, spleen disorders, cough and fever. Thus kshirashatpalakam ghritam is described [147-148]"
257,trivṛtāṃ triphalāṃ dantīṃ daśamūlaṃ palonmitam|  jale caturguṇe paktvā caturbhāgasthitaṃ rasam||149||  sarpireraṇḍajaṃ tailaṃ kṣīraṃ caikatra sādhayet|  sa siddho miśrakasnehaḥ sakṣaudraḥ kaphagulmanut||150||  kaphavātavibandheṣu kuṣṭhaplīhodareṣu ca|  prayojyo miśrakaḥ sneho yoniśūleṣu cādhikam||151||  iti miśrakaḥ snehaḥ,"Prepare a decoction of 40 gm each of trivrita, triphala, danti and dashamula by adding four times of water and reducing to one-fourth. In this decoction add ghee, castor oil and milk and prepare medicated ghee. This mishraka sneha taken orally by adding honey cures kapha gulma. It also provides relief in constipation due to kapha and vata, kushtha (chronic skin disorders), spleen disorders and udara-roga (generalized enlargement of abdomen) and especially useful in vaginal pain. Thus mishraka sneha is described [149-151]"
258,yaduktaṃ vātagulmaghnaṃ sraṃsanaṃ nīlinīghṛtam|  dviguṇaṃ tadvirekārthaṃ prayojyaṃ kaphagulminām||152||  sudhākṣīradrave cūrṇaṃ trivṛtāyāḥ subhāvitam|  kārṣikaṃ madhusarpibhyāṃ līḍhvā  sādhu viricyate||153||,Nilini-ghrita already described as laxative for the cure of vata gulma should be used in double the dose for virechana in the patient of kapha gulma.   10 gm powder of trivrita well impregnated with latex of snuhi taken with ghee and honey may also be used to produce a good virechana [152-153]
259,jaladroṇe vipaktavyā viṃśatiḥ pañca cābhayāḥ|  dantyāḥ palāni tāvanti citrakasya tathaiva ca||154|| aṣṭabhāgāvaśeṣaṃ tu rasaṃ pūtamadhikṣipet|  dantīsamaṃ guḍaṃ pūtaṃ kṣipettatrābhayāśca tāḥ||155||  tailārdhakuḍavaṃ caiva trivṛtāyāścatuṣpalam|  cūrṇitaṃ palamekaṃ  tu pippalīviśvabheṣajam||156||  tat sādhyaṃ lehavacchīte tasmiṃstailasamaṃ madhu|  kṣipeccūrṇapalaṃ caikaṃ tvagelāpatrakeśarāt||157||  tato lehapalaṃ līḍhvā jagdhvā caikāṃ harītakīm|  sukhaṃ viricyate snigdho doṣaprasthamanāmayam||158||  gulmaṃ śvayathumarśāṃsi pāṇḍurogamarocakam|  hṛdrogaṃ grahaṇīdoṣaṃ kāmalāṃ viṣamajvaram||159||  kuṣṭhaṃ plīhānamānāhameṣā hanyupasevitā|  niratyayaḥ kramaścāsyā dravo māṃsarasaudanaḥ||160||  iti dantīharītakī,"Prepare a decoction of 25 haritaki and 50 gm each of danti and chitraka in 10 liters of water by reducing it to one-eighth. Add jaggery equal to quantity of danti to the decoction and filter again and add to it haritaki, 80 ml of sesame oil, 160 gm of trivrita powder and 40 gm each of long pepper and dry ginger and by heating made into constituency of the jam. On cooling add 80 gm of honey, 40 gm powder of cinnamon, cardamom, tamalapatra and keshara. Administer its 40 gm with one haritaki daily to a person who has already been prepared with snehana and swedana for a good virechana. It will remove 640 gm of morbid material (dosha prastha) without producing any side effect.   This decoction for virechana will cure gulma, swellings, piles, anemia, anorexia, heart disease, chronic assimilation disorders, jaundice, irregular fever, kushtha, spleen disorders and distension of abdomen. The therapy does not produce any complication. During this therapy liquid diet and rice with meat soup are given to eat. Thus dantiharitaki is described [154-160]"
260,siddhāḥ siddhiṣu vakṣyante nirūhāḥ kaphagulminām|  ariṣṭayogāḥ siddhāśca grahaṇyarśaścikitsite||161||,The most effective niruha basti for kapha gulma will be described in Siddhi Sthana and most effective medicated wines (arishta) will be described in the chapter on Grahani Chikitsa and Arsha Chikitsa [161]
261,yaccūrṇaṃ guṭikā yāśca vihitā vātagulminām|  dviguṇakṣārahiṅgvamlavetasāstāḥ kaphe hitāḥ||162||,"Powder and pills which are described for the treatment of vata gulma should also be used for kapha gulma but added with double the quantity of mixture of kshara, asafoetida and amlavetasa [162]"
262,ya eva grahaṇīdoṣe kṣārāste kaphagulminām|  siddhā niratyayāḥ śastā dāhastvante praśasyate||163||,Kshara preparations mentioned in Grahani Chikitsa are also beneficial for kapha gulma without any side effect. If above mentioned treatment does not cure kapha gulma then cauterization should be done as a last resort [163]
263,prapurāṇāni dhānyāni jāṅgalā mṛgapakṣiṇaḥ|  kaulattho mudgayūṣaśca pippalyā nāgarasya ca||164||  śuṣkamūlakayūṣaśca bilvasya varuṇasya  ca|  cirabilvāṅkurāṇāṃ ca yavānyāścitrakasya ca||165||,"More than one year old grains, meat of wild animals and birds, soup of horse-gram (kulattha) or green gram (mudga), long pepper, dry ginger, dry radish, bilva, varuna, sprouts of chirabilva, yavani and chitraka are beneficial diet articles for the patient of kapha gulma [165]"
264,bījapūrakahiṅgvamlavetasakṣāradāḍimaiḥ|  takreṇa tailasarpirbhyāṃ vyañjanānyupakalpayet||166||,"Citron, asafoetida, amlavetas, kshara, pomegranate, butter milk, oil and ghee preparations are also wholesome for kapha gulma [166]"
265,pañcamūlīśṛtaṃ toyaṃ purāṇaṃ vāruṇīrasam|  kaphagulmī pibetkāle jīrṇaṃ mādhvīkameva vā||167||,Water boiled in laghu panchamula or old varuni or old honey wine should be given to drink on getting the thirst to the patient of kapha gulma [167]
266,yavānīcūrṇitaṃ takraṃ biḍena lavaṇīkṛtam|  pibet sandīpanaṃ vātakaphamūtrānulomanam ||168||,"Taking of butter milk mixed with yavani (ajwain) and salted with bid-salt acts as a digestive stimulant and the regulator of flatus, urine and kapha [168]"
267,sañcitaḥ kramaśo gulmo mahāvāstuparigrahaḥ|  kṛtamūlaḥ sirānaddho yadā kūrma ivonnataḥ||169||  daurbalyārucihṛllāsakāsavamyaratijvaraiḥ  |  tṛṣṇātandrāpratiśyāyairyujyate na sa sidhyati||170||,"The gulma which gradually goes on increasing, spreading over a large area, has taken firm root, is covered by veins, has convex surface like that of tortoise, and which is accompanied with weakness, anorexia, thirst, nausea, vomiting, fever, cough, coryza and drowsiness is considered as incurable [169-170]"
268,gṛhītvā sajvaraśvāsaṃ vamyatīsārapīḍitam|  hṛnnābhihastapādeṣu śophaḥ karṣati gulminam||171||,"The patient of gulma accompanied with fever, dyspnea, vomiting and diarrhea along with edema in the epigastric and umbilical regions and on hands and feet indicate that the patient is approaching to death [171]"
269,raudhirasya tu gulmasya garbhakālavyatikrame|  snigdhasvinnaśarīrāyai dadyāt snehavirecanam||172||,The treatment of rakta gulma should be under taken only after completion of normal period of gestation i.e. 10 months. The patient should be given unctuous virechana after preparing with snehana and swedana [172]
270,palāśakṣārapātre dve dve pātre tailasarpiṣoḥ|  gulmaśaithilyajananīṃ paktvā mātrāṃ prayojayet||173||,Make a semisolid preparation by heating 5 Kg of palasha-kshara with 5 kg each of ghee and oil. Administer it in sufficient dose to make the gulma soft/loose. [173]
271,prabhidyeta na yadyevaṃ dadyādyoniviśodhanam  |   kṣāreṇa yuktaṃ palalaṃ sudhākṣīreṇa vā punaḥ||174|| ābhyāṃ vā bhāvitān dadyādyonau kaṭukamatsyakān|  varāhamatsyapittābhyāṃ laktakān vā subhāvitān||175||  adhoharaiścordhvaharairbhāvitān vā samākṣikaiḥ|  kiṇvaṃ vā saguḍakṣāraṃ dadyādyoniviśodhanam||176||,If the above mentioned treatments do not break the rakta gulma then the preparations which cleans vagina should be used locally.  A swab well saturated with one of the following pastes may be inserted in the vagina:    Sesame paste mixed with kshara or latex of snuhi or Pungent fish impregnated with both kshara and latex of snuhi Bile of hog or fish or emetic or purgative drugs or with honey Or yeast mixed with jaggery and honey may be used for cleansing the vagina [174-176]
272,raktapittaharaṃ kṣāraṃ lehayenmadhusarpiṣā|  laśunaṃ madirāṃ tīkṣṇāṃ matsyāṃścāsyai pradāpayet||177||,Kshara which cures raktapitta may be licked with honey and ghee. Or garlic mixed with strong wine and fish may be given in diet [177]
273,bastiṃ sakṣīragomūtraṃ sakṣāraṃ dāśamūlikam|  adṛśyamāne rudhire dadyādgulmaprabhedanam||178||,"Basti prepared with milk, cow’s urine, kshara and decoction of dashamula should be given. Even after all these treatments, if blood does not flow from vagina then surgical intervention is required [178]"
274,pravartamāne rudhire dadyānmāṃsarasaudanam|  ghṛtatailena cābhyaṅgaṃ pānārthaṃ taruṇīṃ surām||179||,When blood starts flowing through vagina then rice with meat soup should be given to eat. Massage with ghee or oil is done and for drink new wine may be given [179]
275,rudhire'tipravṛtte tu raktapittaharīḥ kriyāḥ|  kāryā vātarugārtāyāḥ sarvā vātaharīḥ punaḥ||180||,"In case of excessive bleeding, the measures curative of raktapitta should be prescribed. If the patient gets vata type of pains then all the remedies curative of vata are given [180]"
276,ghṛtatailāvasekāṃśca tittirīṃścaraṇāyudhān|  surāṃ samaṇḍāṃ pūrvaṃ ca pānamamlasya sarpiṣaḥ||181||  prayojayeduttaraṃ vā jīvanīyena sarpiṣā|  atipravṛtte rudhire satiktenānuvāsanam||182||,"Effusion with ghee and oil should be performed. Meat of partridge (tittara) and rooster (charanayudha), sura (wine) along with its upper fluid (manda) and ghee prepared with sour drugs may be given in diet.   Uttara basti with ghee prepared with jivaniya drugs should be given. In case of the excessive blood flow, anuvasana basti  with ghee/oil prepared with bitter drugs should be given [181-182]"
277,tatra ślokāḥ  snehaḥ svedaḥ sarpirbastiścūrṇāni bṛṃhaṇaṃ guḍikāḥ|  vamanavirekau mokṣaḥ kṣatajasya ca vātagulmavatām||183||  sarpiḥ satiktasiddhaṃ kṣīraṃ prasraṃsanaṃ nirūhāśca|  raktasya cāvasecanamāśvāsanasaṃśamanayogāḥ||184||,"In this chapter, sneha, sweda, sarpi-basti, churna, brimhana, gudika, vamana, virechana and raktamokshana for the patient suffering from vata-gulma have been described.   For the treatment of pitta gulma, sarpi prepared with tikta drugs, kshira, samshamana-niruha basti, bloodletting, counseling (ashvasana), samshamana(preparations) have been described.   "
278,upanāhanaṃ saśastraṃ pakvasyābhyantaraprabhinnasya|  saṃśodhanasaṃśamane pittaprabhavasya gulmasya||185||  snehaḥ svedo bhedo laṅghanamullekhanaṃ virekaśca|  sarpirbastirguṭikāścūrṇamariṣṭāśca sakṣārāḥ||186||,"For pakva (suppurated) gulma, surgical procedure and poultice (upanaha) are described and for that which is ruptured internally the purification (samshodhana) and palliative (samshamana) treatments are mentioned.   "
279,gulmasyānte dāhaḥ kaphajasyāgre'panītaraktasya|  gulmasya raudhirasya kriyākramaḥ strībhavasyoktaḥ||187||,"For kapha gulma, snehana, swedana, bhedana, langhana, vamana, virechana, sarpirbasti, gutika, churna, arishta, kshara, bloodletting followed by cauterization of the gulma as a last resort have been described. Line of treatment for [[]rakta]]-guma occurring in women has also been described.   "
280,pathyānnapānasevā hetūnāṃ varjanaṃ yathāsvaṃ ca|  nityaṃ cāgnisamādhiḥ snigdhasya ca sarvakarmāṇi||188||  heturliṅgaṃ siddhiḥ kriyākramaḥ sādhyatā na yogāśca|  gulmacikitsitasaṅgraha etāvān vyāhṛto'gniveśasya||189||,"Use of wholesome (pathya) eats and drinks, avoidance of the respective etiological factors, continuously protection of digestive power (agni), the instruction for the patient who has undergone snehana are described.  Etiological factors, signs and symptoms, successful line of treatment, curability and otherwise and therapeutic measures are described in concise form in this chapter of Gulma Chikitsa as described by Agnivesha [183-189]"
281,ityagniveśakṛte tantre carakapratisaṃskṛte cikitsitasthāne  gulmacikitsitaṃ nāma pañcamo'dhyāyaḥ||5||,Thus fifth chapter named Gulma Chikitsa in Chikitsa Sthana in the treatise compiled by Agnivesha and revised by Charak is completed [5]
282,athāta unmādacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we shall expound the chapter ""Unmada Chikitsa"" (Management of psychosis disorders). Thus said Lord Atreya. [1-2]"
283,buddhismṛtijñānataponivāsaḥ punarvasuḥ prāṇabhṛtāṃ śaraṇyaḥ|  unmādahetvākṛtibheṣajāni kāle'gniveśāya śaśaṃsa pṛṣṭaḥ||3||,"Punarvasu, the abode of intellect, memory, knowledge, penance and saviour of living beings, timely described the etiology, symptoms and treatment of unmada to Agnivesha as queried. [3]"
