id,sloka,translation,Unnamed: 3
353,kvāthaḥ sa evāṣṭapalaṃ ca dantyā bhallātakānāṃ ca catuṣpalaṃ syāt|  sitopalā tvaṣṭapalā viśeṣaḥ kṣaudraṃ ca tāvat pṛthagāsavau tau||45||,"""So, who are those eight protectors and four tusk guardians to be?"" This distinction is made between the two types of beverages, sitopala and tvastrapala, and a certain amount of ksaudra as well.",
354,sārodakaṃ vā'tha kuśodakaṃ vā  madhūdakaṃ vā triphalārasaṃ vā|  sīdhuṃ pibedvā nigadaṃ pramehī mādhvīkamagryaṃ cirasaṃsthitaṃ vā||46||,"Whether it is water from a river or water from a lotus, or honey, or a drink made from three fruits, after consuming which one becomes steady, fragrant, and becomes like a nectar, that one, which has been processed by Tvastra, becomes the sweetener of the Isa (lord).",
355,māṃsāni śūlyāni mṛgadvijānāṃ khādedyavānāṃ vividhāṃśca bhakṣyān|  saṃśodhanāriṣṭakaṣāyalehaiḥ santarpaṇotthāñ śamayet pramehān||47||,"Let one consume the meat of grazers, birds, and those who can be eaten, after preparing them with various seasonings, such as salt, alcohol, and sugarcane; let one drink this concoction, as it can help calm down the three types of feverishness associated with the bodily humors.",
356,bhṛṣṭān yavān bhakṣayataḥ prayogācchuṣkāṃśca saktūnna bhavanti mehāḥ|  śvitraṃ ca kṛcchraṃ kaphajaṃ ca kuṣṭhaṃ tathaiva mudgāmalakaprayogān||48||,"""Of the species of meats and small game eaten by birds, only a select few remain digestible for the twice-born. He should carefully purify them, eliminating any impurities, rashes, scabies, and leprosy through specific methods.""",
357,santarpaṇottheṣu gadeṣu yogā medasvināṃ ye ca mayopadiṣṭāḥ|  virūkṣaṇārthaṃ kaphapittajeṣu siddhāḥ prameheṣvapi te prayojyāḥ||49||,"Those who have been taught by me, the dried grains consumed by them, derived from their crushing, become refined and useful for quelling phlegm and bile, just as unmatured rice and Aamalaki fruits become useful when processed.",
358,vyāyāmayogairvividhaiḥ pragāḍhairudvartanaiḥ snānajalāvasekaiḥ| sevyatvagelāgurucandanādyairvilepanaiścāśu[1] na santi mehāḥ||50||,"In various ways, such as vigorous exercise, sweat-inducing practices, and anointing oneself with water and pastes like candana, those that promote health in the body, namely kapha, pitta, and those elements that have been properly prepared, should be utilized for my purpose, even in small quantities.",
359,kledaśca medaśca kaphaśca vṛddhaḥ pramehahetuḥ prasamīkṣya tasmāt|  vaidyena pūrvaṃ kaphapittajeṣu meheṣu kāryāṇyapatarpaṇāni||51||,"""Being advanced in age, one becomes susceptible to phlegm, bile, and fat. Having carefully considered this, one should first seek to eliminate the causes of diseases related to phlegm and bile.""",
360,yā vātamehān prati pūrvamuktā vātolbaṇānāṃ vihitā kriyā sā|  vāyurhi meheṣvatikarśitānāṃ kupyatyasādhyān prati nāsti cintā||52||,"The elimination of phlegm, bile, and fat, which were previously expelled, indeed agitates [the body], but there is no concern for one who has examined the cause and seeks treatment from a physician in advance.",
361,yairhetubhirye prabhavanti mehāsteṣu prameheṣu na te niṣevyāḥ|  hetorasevā vihitā yathaiva jātasya rogasya bhaveccikitsā||53||,"The actions prescribed by those previous sages, who are free from the afflictions caused by the powerful wind of desire, are not to be adopted in my presence. Just as treatment is prescribed for a disease that has already arisen, in the same way, there should be reflection on the actions that cause agitation in those who are already emaciated due to excessive desire, and which are unattainable, leading to no concern.",
362,hāridravarṇaṃ rudhiraṃ ca mūtraṃ vinā pramehasya hi pūrvarūpaiḥ|  yo mūtrayettaṃ na vadet pramehaṃ raktasya pittasya hi sa prakopaḥ||54||,"The fluids having the colors of gold and blood, as well as urine, except for semen, are the initial forms of it. If one does not consider this to be urine, then it is an aggravation of the disorder of rakta and pitta in the body, and proper treatment will not be possible.",
363,dṛṣṭvā pramehaṃ madhuraṃ sapicchaṃ madhūpamaṃ syāddvividho vicāraḥ|  kṣīṇeṣu doṣeṣvanilātmakaḥ syāt  santarpaṇādvā kaphasambhavaḥ syāt||55||,"When one sees a sweet, flowing pus (in a wound), reddish like honey, along with blood and urine, without eliminating it, a discussion arises: if it is due to the disappearance of impurities, or if it is caused by an increase in phlegm. If it is like that, then it should be treated; otherwise, it should not be spoken of as if it were pus, because it could cause an aggravation of the blood and bile of that person.",
364,sapūrvarūpāḥ kaphapittamehāḥ krameṇa ye vātakṛtāśca mehāḥ| sādhyā na te pittakṛtāstu yāpyāḥ sādhyāstu medo  yadi na praduṣṭam||56||,"Having observed this in the world, if something is comparable to sweet sap, which has been produced from the previous combination of phlegm and wind, then it becomes easily digestible when those two doshas are reduced. But if there is an increase of bile, it becomes non-digestible; only if there isn't any corruption of fat, it becomes digestible.",
365,jātaḥ pramehī madhumehino vā na sādhya uktaḥ sa  hi  bījadoṣāt|  ye  cāpi  kecit  kulajā  vikārā  bhavanti  tāṃśca pravadantyasādhyān||57||,"""Born are those without visible form, consisting of the bodily humors kapha, pitta, and mala (impurities). Some are made through vata by gradual development. And some are said to be incurable. If this be so, then let the medicinal treatment be applied to the fat. But if it becomes corrupt, then...""",
366,pramehiṇāṃ yāḥ piḍakā mayoktā rogādhikāre pṛthageva sapta|  tāḥ śalyavidbhiḥ kuśalaiścikitsyāḥ  śastreṇa saṃśodhanaropaṇaiśca||58||,"Of the two diagnostic collections mentioned by me for identifying diseases, those that are skillfully treated with surgical methods and preparations should be considered as the seven that are easily distinguishable in the primary stage of their occurrence.",
367,tatra ślokāḥ  heturdoṣo dūṣyaṃ mehānāṃ sādhyatānurūpaśca|  mehī dvividhastrividhaṃ[1] bhiṣagjitamatikṣapaṇadoṣaḥ||59|| ādyā yavānnavikṛtirmanthā mehāpahāḥ kaṣāyāśca|  tailaghṛtalehayogā bhakṣyāḥ pravarāsavāḥ siddhāḥ||60||  vyāyāmavidhirvividhaḥ snānānyudvartanāni gandhāśca|  mehānāṃ praśamārthaṃ cikitsite diṣṭametāvat||61||,"Regarding the rogas mentioned in the pramehiṇa texts, it is appropriate to treat separately and skillfully, using desirable methods, the seven types of pṛthak pida-kāma rogān of śalya category, as well as their causes, with śastras and saṃśodhana ropaṇaiḥ, so as to eliminate impurities and unwholesome substances like taila, ghṛta, leha, yogā, bhakṣyāḥ, pravarā, and asavāḥ, and to pacify the disturbed doshas in order to achieve sādhyatānurūpaśca mehīnām.",
368,athāto grahaṇīdoṣacikitsitaṃ vyākhyāsyāmaḥ||1||  iti ha smāha bhagavānātreyaḥ||2||,"Now we shall explain the treatment of impurities in grains, their transformations, and those of fluids, extracts, and phlegm; also of the impurities in sesame oil, ghee, and medicinal lozenges; of proper procedures for various kinds of food, such as those that should be eaten, those that should be avoided, and those that are excellent; of the rules for various types of baths, such as those that are soothing, etc.; up to this point. Thus has spoken the Lord Atreya.",
369,āyurvarṇo balaṃ svāsthyamutsāhopacayau prabhā|  ojastejo'gnayaḥ prāṇāścoktā dehāgnihetukāḥ||3||,"Now we will explain the remedies for the disorders related to grasping and retaining, as discussed earlier by the sage Atreya.",
370,śānte'gnau mriyate yukte ciraṃ jīvatyanāmayaḥ|  rogī syādvikṛte mūlamagnistasmānnirucyate||4||,"In a state of tranquility, one lives for a long time, free from illness, with a fair complexion, strength, and sound health. When one's fundamental nature is altered, causing disease, the body, consuming fuel, is said to be dependent on fire. The vital breaths, too, are addressed as such.",
371,yadannaṃ dehadhātvojobalavarṇādipoṣakam|  tatrāgnirheturāhārānna hyapakvādrasādayaḥ||5||,"If one, whose sustenance and color are derived from the inherent power of the body, dies in that very fire, then they would have been associated with it for a long time, constantly living, healthy, and free from disease. If their form is altered, fire is considered as the root of it, hence one should identify it as such.",
372,annamādānakarmā tu prāṇaḥ koṣṭhaṃ prakarṣati|  taddravairbhinnasaṅghātaṃ snehena mṛdutāṃ gatam||6||  samānenāvadhūto'gnirudaryaḥ pavanodvahaḥ|  kāle bhuktaṃ samaṃ samyak pacatyāyurvivṛddhaye||7||  evaṃ rasamalāyānnamāśayasthamadhaḥ sthitaḥ|  pacatyagniryathā sthālyāmodanāyāmbutaṇḍulam||8||,"""The vital force (prāṇaḥ), which nourishes (poṣakam), draws sustenance from food, moves in a subtle form throughout the body, is like fire in its capacity to transform. Just as fire, when applied to greenwood, causes it to undergo transformation, so also does this vital force transform the food consumed. This process, powered by the vital force, fosters growth, longevity, and well-being.""",
373,annasya bhuktamātrasya ṣaḍrasasya prapākataḥ|  madhurādyāt kapho bhāvāt phenabhūta  udīryate||9||,"The eater of just a portion of food, consisting of six tastes, becomes, through the action of the vital air, fragmented in its combination, made tender by affection, and evenly distributed. Similarly, fire, when offered oblations, becomes a purifier and carrier of the oblation during the appropriate time. Just as food, cooked well, remains established in its place, similarly, water, mixed with rice, settles down below.",
374,paraṃ tu pacyamānasya vidagdhasyāmlabhāvataḥ|  āśayāccyavamānasya pittamacchamudīryate||10||,"Indeed, as the eater's food is digested, the sweetness of the initial taste of the mother's milk is revealed, derived from the six kinds of flavors, even if masked by Kapha's heaviness, it ultimately gets separated and manifested.",
375,pakvāśayaṃ tu prāptasya śoṣyamāṇasya vahninā|  paripiṇḍitapakvasya vāyuḥ syāt kaṭubhāvataḥ||11||,"When something cooked is being consumed by fire, and something overcooked is being made dry by it, then, from the source of the sour taste, pungent juices flow out.",
376,annamiṣṭaṃ hyupahitamiṣṭairgandhādibhiḥ pṛthak|  dehe prīṇāti gandhādīn ghrāṇādīnīndriyāṇi ca||12||,"The ripened (pakvā) body, already given over to being dried out (pari + piṇḍita + śoṣyamāṇasya + vahninā), is made pleasant by odors and the like, through the senses of smell and the like, by the wind (vāyuḥ), which has become pungent (kaṭu + bhāvataḥ).",
377,bhaumāpyāgneyavāyavyāḥ pañcoṣmāṇaḥ sanābhasāḥ|  pañcāhāraguṇānsvānsvānpārthivādīnpacanti hi||13||,"""Indeed, the five sense organs, starting from taste and smell, when presented with their respective objects, each delight in their respective enjoyments.""",
378,yathāsvaṃ svaṃ ca puṣṇanti dehe dravyaguṇāḥ pṛthak|  pārthivāḥ pārthivāneva śeṣāḥ śeṣāṃśca kṛtsnaśaḥ||14||,"Just as the five elements, caused by fire and wind, nourish their respective qualities separately in the body; similarly, the earthly elements nourish completely the qualities of other elements.",
379,saptabhirdehadhātāro dhātavo dvividhaṃ punaḥ|  yathāsvamagnibhiḥ pākaṃ yānti kiṭṭaprasādavat ||15||,"Just as firewood, according to its own nature, causes the cooking process to move forward as if pleasing, in the same way, the seven elemental components of the body, divided into two categories, nourish the physical substances and qualities that are separate and those that remain after separation, in their own respective ways.",
380,rasādraktaṃ tato māṃsaṃ māṃsānmedastato'sthi ca|  asthno majjā tataḥ śukraṃ śukrādgarbhaḥ prasādajaḥ||16||,"""The seven dhātāras, using their own powers, cook the flesh that is connected to me, then the fat, then the marrow, then the semen, from which the embryo is born.""",
381,rasāt stanyaṃ tato raktamasṛjaḥ kaṇḍarāḥ sirāḥ|  māṃsādvasā tvacaḥ ṣaṭ ca medasaḥ snāyusambhavaḥ||17||,"From fluids arises blood, then tissue, from tissue flesh, from flesh bones, followed by marrow, and fat; semen arises from flesh and fat, and the embryo develops from semen and fluids.",
382,kiṭṭamannasya viṇmūtraṃ rasasya tu kapho'sṛjaḥ|  pittaṃ māṃsasya khamalā malaḥ svedastu medasaḥ||18||  syātkiṭṭaṃ keśalomāsthno majjñaḥ sneho'kṣiviṭtvacām|  prasādakiṭṭe dhātūnāṃ pākādevaṃvidharcchataḥ ||19||  parasparopasaṃstabdhā dhātusnehaparamparā |,"The fluid produced by the mind is stanya, flowing from that which is red after being released from kaṇḍarāḥ and sirāḥ, which come from flesh through vasā, and from tvacaḥ, which comes from fat. Similarly, the fluid produced by the senses is sambhavaḥ, resulting from parasparopasaṃstabdhā dhātusneha-paramparā, the sequence of bodily tissues arising from their union.",
383,vṛṣyādīnāṃ prabhāvastu puṣṇāti balamāśu hi||20||,"You, nourishing the strength of the vṛṣyas and others, should cook the juices of mūtram, rasa, kapha, pitta, māṃsa, malas, sveda, medas, properly, making them pure, and unctuous. Let unctuousness, sneha, and dhātu be established in parasparā order, and let them be upheld in their pure form in a sequence (paramparā).",
384,ṣaḍbhiḥ kecidahorātrairicchanti parivartanam|  santatyā bhojyadhātūnāṃ parivṛttistu cakravat||21||,"Some nourish the sustenance of the destitute in six days and nights; indeed, the cycle of consumption of elements, like a wheel, revolves rapidly.",
385,(ityuktavantamācāryaṃ śiṣyastvidamacodayat|  rasādraktaṃ visadṛśāt kathaṃ dehe'bhijāyate||22||  rasasya ca na rāgo'sti sa kathaṃ yāti raktatām|  dravādraktātsthiraṃ māṃsaṃ kathaṃ tajjāyate nṛṇām||23||  dravadhātoḥ sthirānmāṃsānmedasaḥ sambhavaḥ katham|  ślakṣṇābhyāṃ māṃsamedobhyāṃ kharatvaṃ kathamasthiṣu||24||  khareṣvasthiṣu majjā ca kena snigdho mṛdustathā|  majjñaśca pariṇāmena yadi śukraṃ pravartate||25||  sarvadehagataṃ śukraṃ pravadanti manīṣiṇaḥ|  tathā'sthimadhyamajjñaśca śukraṃ bhavati dehinām||26||  chidraṃ na dṛśyate'sthnāṃ ca tanniḥsarati vā katham|,"Some sages desire to know through what cause-and-effect do six kinds of creatures, through the day and night, undergo transformation? What is the process by which the fluid in the body becomes solid flesh? How does solid flesh become fat? How does fat become transformed into bone? How do soft fat and solid flesh become transformed into hard bone? How does hard bone become porous? How does that which is not visible in solid bones become visible? How does it leave the body?",
386,evamuktastu śiṣyeṇa guruḥ prāhedamuttaram||27||  tejo rasānāṃ sarveṣāṃ manujānāṃ yaducyate|  pittoṣmaṇaḥ sa rāgeṇa raso raktatvamṛcchati||28||,"Instructed thus by the disciple, the teacher reveals the supreme: ""Of all substances, that which is called the radiance of human beings, it is that very thing that becomes reddish with rage, arising from the sap (of the body). From this same sap of human beings, their solid parts become firm, and from the fat, marrow is produced. If the subtle parts of marrow and fat increase, then a fluidity like that of butter and oil arises in the bones, in the case of both humans and animals. When this fluidity arises, then they say that semen becomes active; always present, it is spoken of as flowing out by wise people. If it finds a place in the middle of the body of living beings, then a split appears, and it becomes visible. A split occurs in the bones, and it emerges; or perhaps not.

This enhanced translation attempts to capture the meaning of the given Sanskrit verse, using the word splits and morphological tags as a guide. It interprets the verse in a way that explains the process of how a human being becomes capable of procreation, by describing the role of various bodily substances such as sap, fat, marrow, fluidity, etc., and their transformations under certain conditions. The use of passive voice in many places adds to the sense of inevitability or naturalness of these transformations, as they are described as objective facts rather than as deliberate actions.",
387,vāyvambutejasā raktamūṣmaṇā cābhisaṃyutam|  sthiratāṃ prāpya māṃsaṃ syāt svoṣmaṇā pakvameva tat ||29||,"Thus, the teacher told the disciple, ""The vital breath and radiance of the universe are united with me, and by obtaining stability, I become the sap of all bodily tissues, identified as the pitta, associated with heat, known as rakta, the cause of redness in all humans.""",
388,svatejo'mbuguṇasnigdhodriktaṃ medo'bhijāyate|,"""Being mixed with the tejas (energy) of vayu (air) and ambu (water), raktam (reddish substance, i.e., blood) is produced, and by the union of heat, sthiratam (firmness) is attained by the fully cooked mamsa (flesh).""",
389,pṛthivyagnyanilādīnāṃ saṅghātaḥ svoṣmaṇā kṛtaḥ||30||  kharatvaṃ prakarotyasya jāyate'sthi tato nṛṇām|,"The combination of earth, fire, wind, and their qualities, when made smooth and unctuous, gives rise to the firmness found in humans.",
390,karoti tatra sauṣiryamasthnāṃ madhye samīraṇaḥ||31||  medasastāni pūryante sneho majjā tataḥ smṛtaḥ|,"The combination of earth, fire, and wind, known as saṅghāta, is produced by their own heat; from this, fat arises, and then memory is remembered as originating in humans.",
391,tasmānmajjñastu yaḥ snehaḥ śukraṃ sañjāyate tataḥ||32||  vāyvākāśādibhirbhāvaiḥ sauṣiryaṃ jāyate'sthiṣu|  tena sravati tacchukraṃ navāt kumbhādivodakam||33||  srotobhiḥ syandate dehāt samantācchukravāhibhiḥ |  harṣeṇodīritaṃ vegāt saṅkalpācca manobhavāt||34||  vilīnaṃ ghṛtavadvyāyāmoṣmaṇā sthānavicyutam|  bastau sambhṛtya niryāti sthalānnimnādivodakam)||35||,"""Therefore, semen, produced from feelings of love in the midst of air and ether, takes on a physical form. From it, when released from the body through the proper paths, arises new water in receptacles such as pots. Through these channels, it flows, merging with the existing water in the environment, due to the force of sexual desire, mental determination, and excitement.""",
392,vyānena rasadhāturhi vikṣepocitakarmaṇā|  yugapat sarvato'jasraṃ dehe vikṣipyate sadā||36||,"""For this reason, the one who is affectionate is always made to emit, through the path of vyana, the actions that originate from semen. At the same time, every part of the body becomes permeated by the subtle elements and space, starting from the heart. From this arises lightness in the body. Therefore, due to this, just as water flows from a full tank, in the same way, the body made light through this emission of semen, emits fluid, moved by the force of sexual desire, at every pore, and this is the cause of the mind becoming agitated.""",
393,kṣipyamāṇaḥ khavaiguṇyādrasaḥ sajjati yatra saḥ|  karoti vikṛtiṃ tatra khe varṣamiva toyadaḥ||37||,"Through the action of constant agitation by the vital air, the rasa of the body's elements there gets mixed up, just as rain clouds do in the sky.",
394,doṣāṇāmapi caivaṃ syādekadeśaprakopaṇam |,"The one who is being agitated in this way takes on an altered form wherever, just as rain does in the sky and earth.",
395,iti bhautikadhātvannapaktṝṇāṃ karma bhāṣitam||38||,Even the speech act of those who purify themselves from the faults can sometimes become wrathful.,
396,annasya paktā sarveṣāṃ paktṝṇāmadhipo mataḥ|  tanmūlāste hi tadvṛddhikṣayavṛddhikṣayātmakāḥ||39||,"The root cause of the preparation of all foods is considered to be the one who presides over the transformational action of these foods, whose growth, diminution, and increase are inherently linked to it.",
397,tasmāttaṃ vidhivadyuktairannapānendhanairhitaiḥ|  pālayet prayatastasya sthitau hyayurbalasthitiḥ||40||,"Therefore, let the one who seeks to maintain his strength always protect, in accordance with proper procedures, the sources of cooking fire and water, which are the basis for sustenance, growth, and decay of all beings.",
398,yo hi bhuṅkte vidhiṃ tyāktvā grahaṇīdoṣajān gadān|  sa laulyāllabhate śīghraṃ vakṣyante'taḥ paraṃ tu te||41||,"Therefore, he who eats (food), having abandoned (the rules of) eating, using fuels and having protected (the fire), quickly becomes desirous of more; it is declared that his lifespan and strength will decrease.",
399,abhojanādajīrṇātibhojanādviṣamāśanāt| asātmyaguruśītātirūkṣasanduṣṭabhojanāt||42||  virekavamanasnehavibhramādvyādhikarṣaṇāt|  deśakālartuvaiṣamyādvegānāṃ ca vidhāraṇāt||43||  duṣyatyagniḥ sa duṣṭo'nnaṃ na tat pacati laghvapi|  apacyamānaṃ śuktatvaṃ yātyannaṃ viṣarūpatām  ||44||,"The one who eats according to the prescribed rules, having abandoned the faults of accepting/rejecting food, and who, due to desire, quickly partakes of a meal, will cause the digestive fire to become impure, not cook food properly, and become spoiled with an unpleasant smell and unappetizing appearance.",
400,tasya liṅgamajīrṇasya viṣṭambhaḥ sadanaṃ tathā|  śiraso ruk ca mūrcchā ca bhramaḥ pṛṣṭhakaṭigrahaḥ||45||  jṛmbhā'ṅgamardastṛṣṇā ca jvaraśchardiḥ pravāhaṇam|  arocako'vipākaśca ghoramannaviṣaṃ ca tat||46||,"The symptoms of a person who has neglected their meal include: imbalance due to irregular eating, discomfort due to hunger, uneasiness due to incompatible food, heaviness due to overeating, giddiness due to eating light food, stiffness due to not eating at all, fainting due to hunger, tremors due to fasting, thirst due to not eating, lethargy due to unctuous food, loss of sense of direction due to irregular eating, and indigestion due to eating too much or too little. Agni, the digestive fire, becomes impure and is unable to properly digest food. Despite this, it continues to cook the food, albeit in a light and hurried manner, and turns it into a foul substance.",
401,saṃsṛjyamānaṃ pittena dāhaṃ tṛṣṇāṃ mukhāmayān|  janayatyamlapittaṃ ca pittajāṃścāparān gadān||47||  yakṣmapīnasamehādīn kaphajān kaphasaṅgatam|  karoti vātasaṃsṛṣṭaṃ vātajāṃśca gadān bahūn||48||  mūtrarogāṃśca mūtrasthaṃ kukṣirogān śakṛdgatam|  rasādibhiśca saṃsṛṣṭaṃ kuryādrogān rasādijān||49||,"The rod of decay, caused by the exhaustion of his vital fluid, is generated in him by his father; it brings forth bile, phlegm, and other bodily humors, as well as wind, in various forms. Similarly, through the elimination of feces, urine, and intestinal ailments, as well as through the production of phlegm, various diseases caused by phlegm are generated; furthermore, through improper digestion, a ghastly, foul-smelling disorder of food arises.",
402,viṣamo dhātuvaiṣamyaṃ karoti viṣamaṃ pacan|  tīkṣṇo mandendhano dhātūn viśoṣayati pāvakaḥ||50||,"""Being produced by the producer, fire cooks food that is both bitter and astringent, making it disagreeable. It dries up fluids and makes the pitta element active. It causes phlegm to move and creates wind. It ripens the kapha element and dries up mucus. It removes impurities from the body, causing many physical ailments. Therefore, one should regularly cleanse the body.""",
403,yuktaṃ bhuktavato yukto dhātusāmyaṃ samaṃ pacan|,"The act of cooking, when done properly, brings about a uniform mixture of substances; the agent of this process, who makes the uniform and intense, is the fire, which also purifies the fuel elements.",
404,durbalo vidahatyannaṃ tadyātyūrdhvamadho'pi vā||51||,"Weakness is what gets destroyed in one who has partaken, whether above, below, or level.",
405,adhastu pakvamāmaṃ vā pravṛttaṃ grahaṇīgadaḥ|  ucyate sarvamevānnaṃ prāyo hyasya vidahyate||52||  atisṛṣṭaṃ vibaddhaṃ vā dravaṃ tadupadiśyate|  tṛṣṇārocakavairasyaprasekatamakānvitaḥ||53||  śūnapādakaraḥ sāsthiparvaruk chardanaṃ jvaraḥ|  lohāmagandhistiktāmla [17] udgāraścāsya jāyate||54||,"The weakened one, consuming either cooked food or what has been set in motion, is said to go upwards; what is spilled or given out is considered its downfall.",
406,pūrvarūpaṃ tu tasyedaṃ tṛṣṇā''lasyaṃ balakṣayaḥ|  vidāho'nnasya pākaśca cirāt kāyasya gauravam||55||,"Indeed, this is the prior form of it: the exhaustion of desire, the wasting of strength. The ripened (food) is called the one that has begun to be digested. Generally, all food is called ""food"" in this sense. Indeed, this is always being digested, having been overly consumed, made loose, and liquefied. This is what is indicated as ""the stimulator of thirst, devoid of the qualities of steadiness and strength.""",
407,agnyadhiṣṭhānamannasya grahaṇādgrahaṇī matā|  nābheruparyahyagnibalenopaṣṭabdhopabṛṃhitā [18] ||56||  apakvaṃ dhāratyannaṃ pakvaṃ sṛjati pārśvataḥ|  durbalāgnibalā duṣṭā [19] tvāmameva vimuñcati||57||,"The previous form, indeed, is the grasping of this object of desire, characterized by thirst and lethargy, for him. The strength of digestion for the food, as well as for a long time, belongs to the body. Only you release it when it is overripe, weakened by excessive heat, or tainted.",
408,vātāt pittāt kaphācca syāttadrogastribhya eva ca|  hetuṃ liṅgaṃ rūpabhedāñ śṛṇu tasya pṛthak pṛthak||58||,"The cause and symptoms of a disease arising from vata, pitta, kapha, and their combinations, listen to them individually.",
409,kaṭutiktakaṣāyātirūkṣaśītalabhojanaiḥ|  pramitānaśanātyadhvaveganigrahamaithunaiḥ||59||  karoti kupito mandamagniṃ sañchādya mārutaḥ [22] |,"Agitated by bile, phlegm, and wind, a roga (disease) of three causes, arising from them, is created, which has characteristic signs and symptoms. Listen to their distinct features.",
410,tasyānnaṃ pacyate duḥkhaṃ śuktapākaṃ kharāṅgatā||60|| kaṇṭhāsyaśoṣaḥ kṣuttṛṣṇā timiraṃ karṇayoḥ svanaḥ|  pārśvoruvaṅkṣaṇagrīvārujo'bhīkṣṇaṃ visūcikā||61||  hṛtpīḍā kārśyadaurbalyaṃ vairasyaṃ parikartikā|  gṛddhiḥ sarvarasānāṃ ca manasaḥ sadanaṃ tathā||62||  jīrṇe jīryati cādhmānaṃ bhukte svāsthyamupaiti ca|  sa vātagulmahṛdrogaplīhāśaṅkī ca mānavaḥ||63||  cirāduḥkhaṃ dravaṃ śuṣkaṃ tanvāmaṃ śabdaphenavat|  punaḥ punaḥ sṛjedvarcaḥ kāsaśvāsārdito'nilāt||64||,"The bitterness, pungency, austereness, hotness, coldness, and lightness of foods do not cook his suffering, which is characterized by lack of appetite, emaciation, fainting, thirst, exhaustion, palpitations, insomnia, delicacy, greed, impatience, envy, and constant dejection. His health deteriorates when he eats contaminated food, and he becomes susceptible to diseases such as indigestion, cough, consumption, dropsy, consumption, jaundice, leprosy, and epilepsy. His body becomes thin, dehydrated, and weak, and he is often afflicted by hiccups, cough, cold, and fever.",
411,kaṭvajīrṇavidāhyamlakṣārādyaiḥ pittamulbaṇam|  agnimāplāvayaddhanti [23] jalaṃ taptamivānalam||65||,"The food of him gets cooked, bringing comfort, turned into a well-cooked state,
like water turned into fire, they cause moisture to bubble.
As for him, constantly affecting the ears, causing dryness in the throat,
causing thirst, causing fainting, causing pain in the chest, causing emaciation,
causing weakness, making all tastes insipid, and constantly affecting the mind,
when the body becomes old, consumed, affected by disease,
made dry like straw, deprived of life, when it comes time for it to be discarded,
then let the vital breath leave, let it exit, let it be released again,
let it be revitalized by the wind.",
412,so'jīrṇaṃ nīlapītābhaṃ pītābhaḥ sāryate dravam|  pūtyamlodgārahṛtkaṇṭhadāhārucitṛḍarditaḥ||66||,"He who has worn out his bluish-black complexion becomes fully aglow, like purified gold, after shedding the dregs of tanned impurities.",
413,gurvatisnigdhaśītādibhojanādatibhojanāt|  bhuktamātrasya ca svapnāddhantyagniṃ kupitaḥ kaphaḥ||67||,"When the yellow and blue phlegm that has become old (in the body) is digested and excreted, causing a burning sensation in the stomach, throat, and chest, it makes one irritable.",
414,tasyānnaṃ pacyate duḥkhaṃ hṛllāsacchardyarocakāḥ|  āsyopadehamādhuryakāsaṣṭhīvanapīnasāḥ||68||  hṛdayaṃ manyate styānamudaraṃ stimitaṃ guru|  duṣṭo madhura udgāraḥ sadanaṃ strīṣvaharṣaṇam||69||  bhinnāmaśleṣmasaṃsṛṣṭaguruvarcaḥpravartanam|  akṛśasyāpi daurbalyamālasyaṃ ca kaphātmake||70||,"The two that are sharp, oily, and cold are not consumed by his heart; his chest, which has a sweet taste, becomes a source of delight for women. His sturdy body, emitting a foul smell, moves about as a result of wind and phlegm; even his weakness, caused by an imbalance of phlegm, does not go unnoticed. His anger, arising from a heated kapha, strikes at fire like a present-indicative class 2 active third-person singular.",
415,yaścāgniḥ pūrvamuddiṣṭo rogānīke caturvidhaḥ|  taṃ cāpi grahaṇīdoṣaṃ samavarjaṃ pracakṣmahe||71||,"The one who is designated as the fire in the past, whose food is consumed, causing fourfold suffering, him we declare free from the flaw of seizure. The one who is considered the heart, who has a pleasant taste, who has a solid form, who is exhaled through the nose, who is thought of as the abode, who has a still form, who is heavy, who has a sweet taste, who is the exhalation, who has a wholesome form, who has been separated, who has released the phlegm within, who has set in motion vitality, even if it is weak, lazy, and associated with phlegm in the body.",
416,pṛthagvātādinirdiṣṭahetuliṅgasamāgame|  tridoṣaṃ nirdiśetteṣāṃ bheṣajaṃ [24] śṛṇvataḥ param||72||,"Indeed, Agni, designated as a remover of disease in two earlier descriptions, can also be known as the one who eliminates the three doshas, if heard.",
417,grahaṇīmāśritaṃ doṣaṃ vidagdhāhāramūrcchitam|  saviṣṭambhaprasekārtividāhārucigauravaiḥ||73|| āmaliṅgānvitaṃ dṛṣṭvā sukhoṣṇenāmbunoddharet|  phalānāṃ vā kaṣāyeṇa pippalīsarṣapaistathā||74||,"Upon seeing a container tainted by negligence, the wise should remove it using cleansing agents like water, or by using the bark of trees like pippalī and sarṣapa, or by using a cloth impregnated with kaṣāya. (73-74)",
418,līnaṃ pakvāśayasthaṃ vā''pyāmaṃ srāvyaṃ sadīpanaiḥ|  śarīrānugate sāme rase laṅghanapācanam||75||,"Having seen a decayed or cooked food object adhering to it, one should raise it, using cleansing agents, for the sake of preserving the body's integrity; or with Kasaya and Pippali fruits, as well as Sarshapa grains.",
419,viśuddhāmāśayāyāsmai pañcakolādibhiḥ śṛtam|  dadyāt peyādi laghvannaṃ punaryogāṃśca dīpanān||76||,"Let the purest essence, having been cooked by the five fires, be offered to her as a drink, along with light, nourishing foods, and digestive aids.",
